ID, VUR, device
"1127","1.0000", smartphone
"1128","0.0000", smartphone
"1129","0.0000", smartphone
"1130","0.0000", smartphone
"1132","0.5000", smartphone
"1134","0.0000", smartphone
"1135","1.0000", smartphone
"1136","0.5000", smartphone
"1137","1.0000", smartphone
"1138","0.5000", smartphone
"1139","1.0000", smartphone
"1142","0.0000", smartphone
"1145","0.5000", smartphone
"1146","0.5000", smartphone
"1148","0.5000", smartphone
"1149","1.0000", smartphone
"1150","0.0000", smartphone
"1152","0.0000", smartphone
"1153","1.0000", smartphone
"1154","0.5000", smartphone
"1156","1.0000", smartphone
"1157","1.0000", smartphone
"1158","0.5000", smartphone
"1159","1.0000", smartphone
"1161","0.5000", smartphone
"1163","0.5000", smartphone
"1164","0.0000", smartphone
"1165","0.0000", smartphone
"1166","0.5000", smartphone
"1167","0.0000", smartphone
"1168","0.0000", smartphone
"1169","0.5000", smartphone
"1170","0.5000", smartphone
"1171","0.5000", smartphone
"1172","0.0000", smartphone
"1174","0.5000", smartphone
"1178","1.0000", smartphone
"1179","0.0000", smartphone
"1180","0.5000", smartphone
"1181","0.0000", smartphone
"1183","0.5000", smartphone
"1184","0.5000", smartphone
"1185","1.0000", smartphone
"1186","0.0000", smartphone
"1187","0.0000", smartphone
"1189","0.5000", smartphone
"1193","0.5000", smartphone
"1194","0.5000", smartphone
"1195","1.0000", smartphone
"1196","0.0000", smartphone
"1197","0.5000", smartphone
"1200","1.0000", smartphone
"1201","0.0000", smartphone
"1202","0.5000", smartphone
"1203","0.0000", smartphone
"1204","1.0000", smartphone
"1205","1.0000", smartphone
"1206","0.5000", smartphone
"1207","0.0000", smartphone
"1208","0.0000", smartphone
"1209","0.0000", smartphone
"1210","0.0000", smartphone
"1211","0.5000", smartphone
"1212","0.5000", smartphone
"1213","0.5000", smartphone
"1214","0.5000", smartphone
"1216","1.0000", smartphone
"1217","1.0000", smartphone
"1218","1.0000", smartphone
"1220","0.5000", smartphone
"1221","1.0000", smartphone
"1222","0.5000", smartphone
"1228","1.0000", smartphone
"1229","0.5000", smartphone
"1231","0.0000", smartphone
"1232","0.5000", smartphone
"1234","0.5000", smartphone
"1235","0.0000", smartphone
"1236","0.5000", smartphone
"1239","0.0000", smartphone
"1240","0.0000", smartphone
"1241","0.5000", smartphone
"1242","0.0000", smartphone
"1243","1.0000", smartphone
"1245","0.5000", smartphone
"1246","1.0000", smartphone
"1247","0.0000", smartphone
"1248","0.0000", smartphone
"1250","0.5000", smartphone
"1251","0.5000", smartphone
"1253","0.0000", smartphone
"1254","0.0000", smartphone
"1255","0.0000", smartphone
"1256","1.0000", smartphone
"1258","0.5000", smartphone
"1259","0.5000", smartphone
"1260","0.0000", smartphone
"1261","1.0000", smartphone
"1263","1.0000", smartphone
"1264","0.0000", smartphone
"1265","0.0000", smartphone
"1266","0.5000", smartphone
"1267","0.5000", smartphone
"1268","0.0000", smartphone
"1270","0.5000", smartphone
"1271","0.0000", smartphone
"1272","0.5000", smartphone
"1273","0.5000", smartphone
"1274","1.0000", smartphone
"1275","0.5000", smartphone
"1277","0.0000", smartphone
"1278","1.0000", smartphone
"1279","0.5000", smartphone
"1281","0.5000", smartphone
"1282","0.5000", smartphone
"1283","0.5000", smartphone
"1285","0.5000", smartphone
"1287","0.0000", smartphone
"1288","0.5000", smartphone
"1289","1.0000", smartphone
"1292","0.5000", smartphone
"1293","1.0000", smartphone
