participantID, age, gender, education, IUIPC, ownership, data, device, recipient, likert
2010, 32, Female, Masters, 34, No, "took screenshots while using other apps", smartphone, noone, 2 
2010, 32, Female, Masters, 34, No, " your gender ", cubetastic3000, appserver, 1 
2010, 32, Female, Masters, 34, No, " when and how much you have sex ", cubetastic3000, public, 3 
2010, 32, Female, Masters, 34, No, " shared photos others sent to you saved on your device ", cubetastic3000, public, 2 
2010, 32, Female, Masters, 34, No, " videos at work (with an outward-facing camera) ", cubetastic3000, public, 2 
2010, 32, Female, Masters, 34, No, " where you work somehow (looking at your map settings or history or observing documents and commutes) ", cubetastic3000, work, 1 
2010, 32, Female, Masters, 34, No, " your social security number ", cubetastic3000, appserver, 5 
1314, 44, Male, Masters, 67, No, "connected to a bluetooth device", smartphone, noone, 4 
1314, 44, Male, Masters, 67, No, "took screenshots while using other apps", smartphone, noone, 4 
1314, 44, Male, Masters, 67, No, " scanned your eye to learn your eye patterns (for eye tracking) ", cubetastic3000, friends, 4 
1314, 44, Male, Masters, 67, No, " when you are busy or interruptible ", cubetastic3000, public, 2 
1314, 44, Male, Masters, 67, No, " shared videos others sent you saved on your device ", cubetastic3000, friends, 5 
1314, 44, Male, Masters, 67, No, " a video of you unclothed ", cubetastic3000, friends, 5 
1314, 44, Male, Masters, 67, No, " a video of you off-guard ", cubetastic3000, public, 4 
1314, 44, Male, Masters, 67, No, " your credit card information ", cubetastic3000, work, 5 
997, 30, Female, Masters, 65, No, "took screenshots while using other apps", smartphone, noone, 5 
997, 30, Female, Masters, 65, No, "sent premium texts or calls", smartphone, noone, 5 
997, 30, Female, Masters, 65, No, " the language you were speaking ", cubetastic3000, public, 4 
997, 30, Female, Masters, 65, No, " recorded your passing conversations ", cubetastic3000, friends, 5 
997, 30, Female, Masters, 65, No, " a photo of you unclothed ", cubetastic3000, appserver, 5 
997, 30, Female, Masters, 65, No, " videos of you (with an inward-facing camera) at random ", cubetastic3000, work, 5 
997, 30, Female, Masters, 65, No, " a video of you entering in a digital passcode to a locked door ", cubetastic3000, appserver, 5 
997, 30, Female, Masters, 65, No, " where you are (like a GPS) ", cubetastic3000, friends, 5 
1896, 19, Female, Somecollege, 61, No, "vibration", smartphone, noone, 1 
1896, 19, Female, Somecollege, 61, No, "connected to a bluetooth device", smartphone, noone, 2 
1896, 19, Female, Somecollege, 61, No, " your age ", cubetastic3000, friends, 2 
1896, 19, Female, Somecollege, 61, No, " recorded your work conversations ", cubetastic3000, work, 5 
1896, 19, Female, Somecollege, 61, No, " a photo of you off-guard ", cubetastic3000, public, 4 
1896, 19, Female, Somecollege, 61, No, " what products you buy ", cubetastic3000, work, 5 
1896, 19, Female, Somecollege, 61, No, " your address ", cubetastic3000, work, 5 
1896, 19, Female, Somecollege, 61, No, " your username and password for websites ", cubetastic3000, public, 5 
593, 22, Female, Bachelors, 53, No, "vibration", smartphone, noone, 2 
593, 22, Female, Bachelors, 53, No, "sent premium texts or calls", smartphone, noone, 5 
593, 22, Female, Bachelors, 53, No, " when, how much, and what you are eating ", cubetastic3000, public, 4 
593, 22, Female, Bachelors, 53, No, " how close you are to other people you interact with ", cubetastic3000, appserver, 3 
593, 22, Female, Bachelors, 53, No, " shared photos you which are already on your device ", cubetastic3000, appserver, 5 
593, 22, Female, Bachelors, 53, No, " a photo of you off-guard ", cubetastic3000, work, 5 
593, 22, Female, Bachelors, 53, No, " an incriminating video of you doing something embarrassing ", cubetastic3000, appserver, 5 
593, 22, Female, Bachelors, 53, No, " what television shows you watch ", cubetastic3000, work, 3 
1817, 26, Male, Graduate, 63, No, "connected to a bluetooth device", smartphone, noone, 2 
1817, 26, Male, Graduate, 63, No, "unmuted a call", smartphone, noone, 3 
1817, 26, Male, Graduate, 63, No, " recorded your passing conversations ", cubetastic3000, appserver, 5 
1817, 26, Male, Graduate, 63, No, " videos of people (with an outward-facing camera) at random ", cubetastic3000, friends, 5 
1817, 26, Male, Graduate, 63, No, " videos at work (with an outward-facing camera) ", cubetastic3000, work, 5 
1817, 26, Male, Graduate, 63, No, " your name ", cubetastic3000, work, 5 
1817, 26, Male, Graduate, 63, No, " your social security number ", cubetastic3000, public, 5 
1817, 26, Male, Graduate, 63, No, " your username for websites ", cubetastic3000, public, 5 
528, 37, Male, Highschool, 69, No, "vibration", smartphone, noone, 2 
528, 37, Male, Highschool, 69, No, "took screenshots while using other apps", smartphone, noone, 5 
528, 37, Male, Highschool, 69, No, "took screenshots while using other apps", cubetastic3000, noone, 5 
528, 37, Male, Highschool, 69, No, " shared videos you which are already on your device ", cubetastic3000, friends, 5 
528, 37, Male, Highschool, 69, No, " an incriminating video of you doing something embarrassing ", cubetastic3000, work, 5 
528, 37, Male, Highschool, 69, No, " a video of you entering in your PIN at an ATM ", cubetastic3000, friends, 5 
528, 37, Male, Highschool, 69, No, " where you are (like a GPS) ", cubetastic3000, friends, 5 
528, 37, Male, Highschool, 69, No, " your username for websites ", cubetastic3000, appserver, 5 
453, 42, Male, Somecollege, 61, No, "vibration", smartphone, noone, 2 
453, 42, Male, Somecollege, 61, No, "took screenshots while using other apps", smartphone, noone, 5 
453, 42, Male, Somecollege, 61, No, "unmuted a call", cubetastic3000, noone, 5 
453, 42, Male, Somecollege, 61, No, "sent premium texts or calls", cubetastic3000, noone, 5 
453, 42, Male, Somecollege, 61, No, " scanned your eye to learn your eye patterns (for eye tracking) ", cubetastic3000, public, 4 
453, 42, Male, Somecollege, 61, No, " when and how much you have sex ", cubetastic3000, public, 5 
453, 42, Male, Somecollege, 61, No, " videos of you (with an inward-facing camera) at random ", cubetastic3000, friends, 4 
453, 42, Male, Somecollege, 61, No, " videos of people (with an outward-facing camera) at random ", cubetastic3000, friends, 3 
1760, 34, Male, Graduate, 54, No, "unmuted a call", smartphone, noone, 4 
1760, 34, Male, Graduate, 54, No, "took screenshots while using other apps", smartphone, noone, 4 
1760, 34, Male, Graduate, 54, No, " when you were lying, nervous, or stressed ", cubetastic3000, work, 5 
1760, 34, Male, Graduate, 54, No, " photos of people (with an outward-facing camera) at random ", cubetastic3000, appserver, 4 
