participantID, age, gender, education, IUIPC, data, device, recipient, likert
996, 30, Male, Bachelors, 39, "vibration", cubetastic3000, noone, 2 
996, 30, Male, Bachelors, 39, " recorded your phone conversations ", cubetastic3000, appserver, 4 
996, 30, Male, Bachelors, 39, " a photo of you intoxicated ", cubetastic3000, appserver, 3 
996, 30, Male, Bachelors, 39, " videos of you (with an inward-facing camera) at random ", cubetastic3000, appserver, 4 
996, 30, Male, Bachelors, 39, " an incriminating video of you doing something embarrassing ", cubetastic3000, work, 4 
996, 30, Male, Bachelors, 39, " a video of you off-guard ", cubetastic3000, friends, 3 
569, 38, Male, Graduate, 70, "unmuted a call", smartphone, noone, 5 
569, 38, Male, Graduate, 70, "sent premium texts or calls", smartphone, noone, 5 
569, 38, Male, Graduate, 70, " when, how, and how much you exercise ", cubetastic3000, public, 5 
569, 38, Male, Graduate, 70, " when and how much you have sex ", cubetastic3000, public, 5 
569, 38, Male, Graduate, 70, " a video of you entering in a digital passcode to a locked door ", cubetastic3000, public, 5 
569, 38, Male, Graduate, 70, " your social security number ", cubetastic3000, friends, 5 
569, 38, Male, Graduate, 70, " your credit card information ", cubetastic3000, public, 5 
2010, 32, Female, Masters, 34, "unmuted a call", smartphone, noone, 3 
2010, 32, Female, Masters, 34, "took screenshots while using other apps", smartphone, noone, 2 
2010, 32, Female, Masters, 34, " your gender ", cubetastic3000, appserver, 1 
2010, 32, Female, Masters, 34, " when and how much you have sex ", cubetastic3000, public, 3 
2010, 32, Female, Masters, 34, " shared photos others sent to you saved on your device ", cubetastic3000, public, 2 
2010, 32, Female, Masters, 34, " videos at work (with an outward-facing camera) ", cubetastic3000, public, 2 
2010, 32, Female, Masters, 34, " where you work somehow (looking at your map settings or history or observing documents and commutes) ", cubetastic3000, work, 1 
2010, 32, Female, Masters, 34, " your social security number ", cubetastic3000, appserver, 5 
1314, 44, Male, Masters, 67, "connected to a bluetooth device", smartphone, noone, 4 
1314, 44, Male, Masters, 67, "took screenshots while using other apps", smartphone, noone, 4 
1314, 44, Male, Masters, 67, " scanned your eye to learn your eye patterns (for eye tracking) ", cubetastic3000, friends, 4 
1314, 44, Male, Masters, 67, " when you are busy or interruptible ", cubetastic3000, public, 2 
1314, 44, Male, Masters, 67, " shared videos others sent you saved on your device ", cubetastic3000, friends, 5 
1314, 44, Male, Masters, 67, " a video of you unclothed ", cubetastic3000, friends, 5 
1314, 44, Male, Masters, 67, " a video of you off-guard ", cubetastic3000, public, 4 
1314, 44, Male, Masters, 67, " your credit card information ", cubetastic3000, work, 5 
997, 30, Female, Masters, 65, "took screenshots while using other apps", smartphone, noone, 5 
997, 30, Female, Masters, 65, "sent premium texts or calls", smartphone, noone, 5 
997, 30, Female, Masters, 65, " the language you were speaking ", cubetastic3000, public, 4 
997, 30, Female, Masters, 65, " recorded your passing conversations ", cubetastic3000, friends, 5 
997, 30, Female, Masters, 65, " a photo of you unclothed ", cubetastic3000, appserver, 5 
997, 30, Female, Masters, 65, " videos of you (with an inward-facing camera) at random ", cubetastic3000, work, 5 
997, 30, Female, Masters, 65, " a video of you entering in a digital passcode to a locked door ", cubetastic3000, appserver, 5 
997, 30, Female, Masters, 65, " where you are (like a GPS) ", cubetastic3000, friends, 5 
1896, 19, Female, Somecollege, 61, "vibration", smartphone, noone, 1 
1896, 19, Female, Somecollege, 61, "connected to a bluetooth device", smartphone, noone, 2 
1896, 19, Female, Somecollege, 61, " your age ", cubetastic3000, friends, 2 
1896, 19, Female, Somecollege, 61, " recorded your work conversations ", cubetastic3000, work, 5 
1896, 19, Female, Somecollege, 61, " a photo of you off-guard ", cubetastic3000, public, 4 
1896, 19, Female, Somecollege, 61, " what products you buy ", cubetastic3000, work, 5 
1896, 19, Female, Somecollege, 61, " your address ", cubetastic3000, work, 5 
1896, 19, Female, Somecollege, 61, " your username and password for websites ", cubetastic3000, public, 5 
593, 22, Female, Bachelors, 53, "vibration", smartphone, noone, 2 
593, 22, Female, Bachelors, 53, "sent premium texts or calls", smartphone, noone, 5 
593, 22, Female, Bachelors, 53, " when, how much, and what you are eating ", cubetastic3000, public, 4 
593, 22, Female, Bachelors, 53, " how close you are to other people you interact with ", cubetastic3000, appserver, 3 
593, 22, Female, Bachelors, 53, " shared photos you which are already on your device ", cubetastic3000, appserver, 5 
593, 22, Female, Bachelors, 53, " a photo of you off-guard ", cubetastic3000, work, 5 
593, 22, Female, Bachelors, 53, " an incriminating video of you doing something embarrassing ", cubetastic3000, appserver, 5 
593, 22, Female, Bachelors, 53, " what television shows you watch ", cubetastic3000, work, 3 
1817, 26, Male, Graduate, 63, "connected to a bluetooth device", smartphone, noone, 2 
1817, 26, Male, Graduate, 63, "unmuted a call", smartphone, noone, 3 
1817, 26, Male, Graduate, 63, " recorded your passing conversations ", cubetastic3000, appserver, 5 
1817, 26, Male, Graduate, 63, " videos of people (with an outward-facing camera) at random ", cubetastic3000, friends, 5 
1817, 26, Male, Graduate, 63, " videos at work (with an outward-facing camera) ", cubetastic3000, work, 5 
1817, 26, Male, Graduate, 63, " your name ", cubetastic3000, work, 5 
1817, 26, Male, Graduate, 63, " your social security number ", cubetastic3000, public, 5 
1817, 26, Male, Graduate, 63, " your username for websites ", cubetastic3000, public, 5 
528, 37, Male, Highschool, 69, "vibration", smartphone, noone, 2 
528, 37, Male, Highschool, 69, "took screenshots while using other apps", smartphone, noone, 5 
528, 37, Male, Highschool, 69, "took screenshots while using other apps", cubetastic3000, noone, 5 
528, 37, Male, Highschool, 69, " shared videos you which are already on your device ", cubetastic3000, friends, 5 
528, 37, Male, Highschool, 69, " an incriminating video of you doing something embarrassing ", cubetastic3000, work, 5 
528, 37, Male, Highschool, 69, " a video of you entering in your PIN at an ATM ", cubetastic3000, friends, 5 
528, 37, Male, Highschool, 69, " where you are (like a GPS) ", cubetastic3000, friends, 5 
528, 37, Male, Highschool, 69, " your username for websites ", cubetastic3000, appserver, 5 
453, 42, Male, Somecollege, 61, "vibration", smartphone, noone, 2 
453, 42, Male, Somecollege, 61, "took screenshots while using other apps", smartphone, noone, 5 
453, 42, Male, Somecollege, 61, "unmuted a call", cubetastic3000, noone, 5 
453, 42, Male, Somecollege, 61, "sent premium texts or calls", cubetastic3000, noone, 5 
453, 42, Male, Somecollege, 61, " scanned your eye to learn your eye patterns (for eye tracking) ", cubetastic3000, public, 4 
453, 42, Male, Somecollege, 61, " when and how much you have sex ", cubetastic3000, public, 5 
453, 42, Male, Somecollege, 61, " videos of you (with an inward-facing camera) at random ", cubetastic3000, friends, 4 
453, 42, Male, Somecollege, 61, " videos of people (with an outward-facing camera) at random ", cubetastic3000, friends, 3 
1760, 34, Male, Graduate, 54, "unmuted a call", smartphone, noone, 4 
1760, 34, Male, Graduate, 54, "took screenshots while using other apps", smartphone, noone, 4 
1760, 34, Male, Graduate, 54, " when you were lying, nervous, or stressed ", cubetastic3000, work, 5 
1760, 34, Male, Graduate, 54, " photos of people (with an outward-facing camera) at random ", cubetastic3000, appserver, 4 
1760, 34, Male, Graduate, 54, " where you live somehow (looking at your map settings or history or observing documents and commutes) ", cubetastic3000, work, 3 
1760, 34, Male, Graduate, 54, " your username for websites ", cubetastic3000, appserver, 4 
1760, 34, Male, Graduate, 54, " your username and password for websites ", cubetastic3000, public, 5 
1760, 34, Male, Graduate, 54, " your bank account information ", cubetastic3000, appserver, 5 
2087, 34, Female, Graduate, 63, "connected to a bluetooth device", smartphone, noone, 2 
2087, 34, Female, Graduate, 63, "took screenshots while using other apps", smartphone, noone, 2 
2087, 34, Female, Graduate, 63, " an incriminating photo of you doing something embarrassing ", cubetastic3000, work, 5 
2087, 34, Female, Graduate, 63, " videos at work (with an outward-facing camera) ", cubetastic3000, public, 4 
2087, 34, Female, Graduate, 63, " where you are currently going (by observing maps, etc.) ", cubetastic3000, work, 5 
2087, 34, Female, Graduate, 63, " what websites you go to ", cubetastic3000, public, 4 
2087, 34, Female, Graduate, 63, " your credit card information ", cubetastic3000, friends, 5 
2087, 34, Female, Graduate, 63, " how much money you have ", cubetastic3000, friends, 5 
2171, 44, Male, Bachelors, 70, "vibration", smartphone, noone, 3 
2171, 44, Male, Bachelors, 70, "sent premium texts or calls", smartphone, noone, 5 
2171, 44, Male, Bachelors, 70, " when you are busy or interruptible ", cubetastic3000, public, 4 
2171, 44, Male, Bachelors, 70, " recorded your phone conversations ", cubetastic3000, public, 5 
2171, 44, Male, Bachelors, 70, " photos of you (with an inward-facing camera) at home ", cubetastic3000, appserver, 5 
2171, 44, Male, Bachelors, 70, " videos of people (with an outward-facing camera) at random ", cubetastic3000, public, 4 
2171, 44, Male, Bachelors, 70, " videos of you (with an inward-facing camera) at home ", cubetastic3000, friends, 5 
2171, 44, Male, Bachelors, 70, " an incriminating video of you doing something embarrassing ", cubetastic3000, appserver, 5 
277, 33, Female, Bachelors, 48, "connected to a bluetooth device", smartphone, noone, 1 
277, 33, Female, Bachelors, 48, "took screenshots while using other apps", smartphone, noone, 3 
277, 33, Female, Bachelors, 48, "vibration", cubetastic3000, noone, 3 
277, 33, Female, Bachelors, 48, " your age ", cubetastic3000, work, 4 
277, 33, Female, Bachelors, 48, " recorded your passing conversations ", cubetastic3000, appserver, 2 
277, 33, Female, Bachelors, 48, " when and how much you spend time alone ", cubetastic3000, public, 5 
277, 33, Female, Bachelors, 48, " how much you use your phone ", cubetastic3000, work, 2 
277, 33, Female, Bachelors, 48, " your bank account information ", cubetastic3000, friends, 5 
1779, 23, Female, Somecollege, 68, "vibration", smartphone, noone, 1 
1779, 23, Female, Somecollege, 68, "sent premium texts or calls", smartphone, noone, 5 
1779, 23, Female, Somecollege, 68, " when and how well you are sleeping ", cubetastic3000, public, 4 
1779, 23, Female, Somecollege, 68, " when, how much, and what you are eating ", cubetastic3000, work, 5 
1779, 23, Female, Somecollege, 68, " how close you are to other people you interact with ", cubetastic3000, public, 5 
1779, 23, Female, Somecollege, 68, " shared photos others sent to you saved on your device ", cubetastic3000, public, 5 
1779, 23, Female, Somecollege, 68, " photos of people (with an outward-facing camera) at random ", cubetastic3000, appserver, 2 
1779, 23, Female, Somecollege, 68, " an incriminating photo of you doing something embarrassing ", cubetastic3000, appserver, 5 
820, 34, Male, Somecollege, 59, "unmuted a call", smartphone, noone, 5 
820, 34, Male, Somecollege, 59, "took screenshots while using other apps", smartphone, noone, 5 
820, 34, Male, Somecollege, 59, " scanned your eye to learn your eye patterns (for eye tracking) ", cubetastic3000, appserver, 4 
820, 34, Male, Somecollege, 59, " how you were feeling based on heart rate, breathing, and/or temperature ", cubetastic3000, friends, 5 
820, 34, Male, Somecollege, 59, " recorded your work conversations ", cubetastic3000, public, 5 
820, 34, Male, Somecollege, 59, " where you live somehow (looking at your map settings or history or observing documents and commutes) ", cubetastic3000, appserver, 5 
820, 34, Male, Somecollege, 59, " when and how much you spend time alone ", cubetastic3000, work, 5 
820, 34, Male, Somecollege, 59, " your address ", cubetastic3000, public, 5 
2107, 35, Male, Masters, 62, "took screenshots while using other apps", smartphone, noone, 5 
2107, 35, Male, Masters, 62, "sent premium texts or calls", smartphone, noone, 5 
2107, 35, Male, Masters, 62, "sent premium texts or calls", cubetastic3000, noone, 5 
2107, 35, Male, Masters, 62, " the language you were speaking ", cubetastic3000, public, 3 
2107, 35, Male, Masters, 62, " who you were spending time with ", cubetastic3000, appserver, 2 
2107, 35, Male, Masters, 62, " recorded your passing conversations ", cubetastic3000, friends, 5 
2107, 35, Male, Masters, 62, " photos of you (with an inward-facing camera) at random ", cubetastic3000, friends, 5 
2107, 35, Male, Masters, 62, " videos of people (with an outward-facing camera) at random ", cubetastic3000, work, 5 
